iter	Passed	Remaining
0	7	7497
1	19	9695
2	30	9996
3	72	18080
4	83	16610
5	92	15387
6	103	14636
7	112	13995
8	122	13453
9	131	13043
10	138	12451
11	148	12214
12	155	11787
13	163	11514
14	173	11378
15	182	11215
16	189	10946
17	197	10767
18	202	10480
19	208	10234
20	215	10047
21	222	9872
22	229	9739
23	237	9659
24	244	9536
25	251	9418
26	258	9331
27	266	9236
28	274	9193
29	280	9081
30	286	8955
31	294	8904
32	300	8818
33	309	8793
34	316	8715
35	324	8679
36	330	8614
37	338	8569
38	344	8500
39	350	8420
40	358	8378
41	364	8304
42	370	8252
43	376	8183
44	381	8105
45	426	8848
46	440	8929
47	451	8962
48	462	8970
49	473	8990
50	483	9001
51	496	9048
52	509	9098
53	524	9183
54	533	9160
55	539	9097
56	553	9149
57	566	9205
58	571	9110
59	575	9022
60	581	8944
61	585	8857
62	589	8772
63	595	8705
64	599	8625
65	604	8552
66	609	8491
67	614	8420
68	618	8351
69	624	8301
70	630	8243
71	634	8178
72	638	8114
73	644	8063
74	649	8005
75	653	7942
76	679	8144
77	689	8147
78	697	8127
79	706	8124
80	714	8108
81	722	8084
82	729	8061
83	735	8022
84	744	8012
85	752	8001
86	761	7994
87	768	7967
88	775	7934
89	780	7896
90	787	7864
91	792	7820
92	798	7787
93	806	7770
94	813	7753
95	821	7737
96	830	7728
97	837	7706
98	844	7681
99	850	7655
100	855	7614
101	860	7575
102	865	7537
103	870	7501
104	875	7466
105	881	7434
106	887	7407
107	893	7383
108	901	7370
109	907	7345
110	913	7318
111	919	7293
112	925	7260
113	933	7258
114	943	7263
115	968	7377
116	974	7356
117	983	7350
118	990	7336
119	1002	7349
120	1014	7367
121	1021	7349
122	1032	7359
123	1038	7335
124	1047	7333
125	1054	7314
126	1061	7297
127	1068	7276
128	1075	7259
129	1083	7252
130	1091	7243
131	1099	7230
132	1120	7302
133	1129	7301
134	1152	7386
135	1162	7383
136	1171	7379
137	1188	7421
138	1203	7453
139	1216	7473
140	1231	7503
141	1241	7500
142	1250	7493
143	1260	7491
144	1268	7481
145	1279	7483
146	1289	7483
147	1297	7470
148	1307	7465
149	1317	7466
150	1326	7456
151	1336	7453
152	1343	7436
153	1349	7414
154	1355	7389
155	1361	7364
156	1367	7344
157	1373	7319
158	1378	7291
159	1385	7276
160	1392	7256
161	1398	7232
162	1405	7219
